tract_a	tract_b	adjacency
53063013000	53063013100	1
53063011702	53063013000	1
53063010501	53063010501	1
53063010501	53063010503	1
53063010501	53063010900	1
53063010501	53063010700	1
53063010501	53063010800	1
53063010201	53063010201	1
53063010201	53063010305	1
53063010100	53063010201	1
53063010201	53063010304	1
53051970400	53063010201	1
53051970500	53063010201	1
53063010305	53063010305	1
53063010305	53063010503	1
53063010304	53063010305	1
53073010100	53073010100	1
53073010100	53073010200	1
53057950900	53073010100	1
53057951100	53073010100	1
53057951000	53073010100	1
53073000806	53073010100	1
53073010100	53073010702	1
53047970900	53073010100	1
53063010100	53063010100	1
53063010100	53063011400	1
53063010100	53063013201	1
53051970500	53063010100	1
53073000100	53073000100	1
53073000100	53073000200	1
53073000100	53073000300	1
53073000100	53073000501	1
53073000100	53073010600	1
53073000100	53073000700	1
53073000100	53073000400	1
53073000100	53073000804	1
53073000100	53073000806	1
53073000100	53073000803	1
53073000100	53073010702	1
53073000100	53073010701	1
53073940000	53073940000	1
53073000200	53073940000	1
53073010501	53073940000	1
53073001100	53073940000	1
53073010900	53073940000	1
53073000600	53073000600	1
53073000600	53073001100	1
53073000501	53073000600	1
53073000502	53073000600	1
53073000600	53073001000	1
53073010502	53073010502	1
53073010301	53073010502	1
53073010501	53073010502	1
53073010502	53073010600	1
53073010404	53073010502	1
53073010200	53073010200	1
53073010200	53073010303	1
53073010200	53073010702	1
53073010200	53073010701	1
53073000200	53073000200	1
53073000200	53073010501	1
53073000200	53073000300	1
53073000200	53073001100	1
53073000200	53073010600	1
53073000200	53073010701	1
53073010301	53073010301	1
53073010301	53073010303	1
53073010301	53073010401	1
53073010301	53073010600	1
53073010301	53073010302	1
53073010301	53073010701	1
53073010301	53073010404	1
53073010501	53073010501	1
53073010501	53073010600	1
53073010501	53073010900	1
53073010404	53073010501	1
53073010303	53073010303	1
53073010302	53073010303	1
53073010303	53073010701	1
53063012200	53063012200	1
53063011300	53063012200	1
53063012200	53063012300	1
53063011500	53063012200	1
53063011701	53063012200	1
53063012100	53063012200	1
53063012200	53063014400	1
53063012200	53063014500	1
53063000900	53063000900	1
53063000900	53063001100	1
53063000900	53063001000	1
53063000800	53063000900	1
53063000700	53063000900	1
53063000900	53063010601	1
53063002300	53063002300	1
53063002300	53063002400	1
53063002300	53063003600	1
53063001000	53063002300	1
53063002000	53063002300	1
53063002100	53063002300	1
53063002400	53063002400	1
53063002400	53063003600	1
53063002400	53063003500	1
53063001900	53063002400	1
53063002000	53063002400	1
53063002400	53063002500	1
53063002400	53063014500	1
53063001100	53063001100	1
53063001100	53063001200	1
53063001000	53063001100	1
53063001100	53063002000	1
53063001100	53063002100	1
53063000600	53063001100	1
53063000700	53063001100	1
53063001200	53063001200	1
53063001200	53063001300	1
53063001200	53063001900	1
53063001200	53063002000	1
53063000500	53063001200	1
53063000600	53063001200	1
53063000700	53063001200	1
53063001300	53063001300	1
53063001300	53063001900	1
53063001300	53063002000	1
53063001300	53063001400	1
53063000400	53063001300	1
53063000500	53063001300	1
53063000600	53063001300	1
53063001600	53063001600	1
53063000300	53063001600	1
53063001600	53063001800	1
53063000200	53063001600	1
53063001500	53063001600	1
53063001600	53063014400	1
53063010503	53063010503	1
53063010503	53063010900	1
53063010402	53063010503	1
53063010503	53065951400	1
